user,mode,dt,d_km,slope,t_a,t_b,lat_a,lng_a,lat_b,lng_b,near_frontier,reach_frac
4,cycling,23.0,0.324,71.0,111.0,88.0,51.50327,-0.05223,51.50599,-0.05057,True,0.547
0,cycling,23.0,0.32,71.8,111.0,88.0,51.48859,-0.02529,51.48838,-0.0299,True,0.677
3,walking,23.0,0.32,71.9,81.0,58.0,51.56778,0.02754,51.56758,0.02292,False,0.302
3,walking,23.0,0.32,71.9,79.0,56.0,51.5829,-0.04856,51.58311,-0.04394,False,0.302
5,cycling,22.0,0.324,67.9,113.0,91.0,51.48608,-0.02234,51.48335,-0.024,True,0.783
0,cycling,22.0,0.346,63.5,116.0,94.0,51.49908,-0.02787,51.50159,-0.03082,True,0.677
3,walking,22.0,0.346,63.5,109.0,87.0,51.52422,0.00092,51.52674,-0.00203,False,0.302
0,cycling,21.0,0.32,65.6,94.0,115.0,51.50159,-0.03082,51.5018,-0.02621,True,0.677
0,cycling,21.0,0.324,64.8,110.0,89.0,51.48608,-0.02234,51.48335,-0.024,True,0.677
4,cycling,21.0,0.32,65.6,104.0,83.0,51.49509,0.00109,51.49488,-0.00352,False,0.547
2,transit,21.0,0.346,60.6,8.0,29.0,51.55314,-0.00386,51.55565,-0.00681,False,1.0
4,cycling,21.0,0.32,65.6,114.0,93.0,51.50263,-0.06607,51.50284,-0.06146,True,0.547
3,walking,21.0,0.32,65.7,83.0,104.0,51.55228,0.03601,51.55248,0.04063,False,0.302
5,cycling,21.0,0.32,65.6,110.0,89.0,51.49383,-0.02658,51.49363,-0.03119,True,0.783
5,cycling,20.0,0.346,57.7,113.0,93.0,51.48608,-0.02234,51.48356,-0.01939,True,0.783
2,transit,20.0,0.32,62.5,29.0,9.0,51.55565,-0.00681,51.55586,-0.0022,False,1.0
3,walking,20.0,0.324,61.8,39.0,19.0,51.55985,-0.03119,51.56257,-0.02953,False,0.302
3,walking,20.0,0.324,61.8,31.0,11.0,51.55754,-0.02362,51.56027,-0.02195,False,0.302
4,cycling,20.0,0.346,57.7,115.0,95.0,51.49363,-0.03119,51.49111,-0.02824,True,0.547
4,cycling,20.0,0.324,61.7,94.0,114.0,51.50536,-0.06441,51.50263,-0.06607,True,0.547
4,cycling,20.0,0.346,57.7,114.0,94.0,51.50263,-0.06607,51.50515,-0.06903,True,0.547
3,walking,20.0,0.346,57.8,61.0,81.0,51.5703,0.02459,51.56778,0.02754,False,0.302
