idx,lat,lng,driving_o0,cycling_o0,transit_o0,walking_o0,driving_o1,driving_o2,driving_o3,n_modes_anom,n_origins_anom
70,51.56928,-0.05687,0.0,,1.0,,0.5,0.0,0.0,0,0
71,51.57367,-0.01826,1.0,,1.0,,-0.5,0.0,1.0,0,0
72,51.54414,-0.02731,0.5,,-3.0,,-1.0,0.0,0.0,0,0
73,51.45209,-0.06992,1.0,1.0,5.0,,2.0,1.0,1.0,0,0
74,51.55813,0.04857,-1.0,,-1.5,,-1.0,-1.0,-1.0,0,0
75,51.5382,0.07677,0.5,,-0.5,,1.0,0.0,0.0,0,0
76,51.56249,0.08715,0.0,,2.0,,0.0,0.5,0.0,0,0
77,51.53384,0.0382,-0.5,,-2.5,,-0.5,-1.0,-1.0,0,0
78,51.43077,-0.18591,-0.5,-0.5,1.0,-1.5,0.5,-0.5,0.0,0,0
79,51.55453,0.08676,-1.0,,0.5,,-0.5,-1.0,-1.5,0,0
80,51.50692,-0.20256,-0.5,-1.0,1.0,,-0.5,0.0,0.5,0,0
81,51.56337,0.04729,0.0,,0.0,,1.5,1.5,1.5,0,0
82,51.53672,-0.18896,1.0,-1.0,3.0,,0.0,1.0,1.5,0,0
83,51.47732,-0.21152,-1.0,0.5,3.5,-2.0,0.0,-0.5,-1.5,0,0
84,51.538,-0.16124,0.5,-2.0,1.5,,1.5,1.0,1.5,0,0
85,51.52444,-0.05279,0.0,-1.0,-3.0,,-0.5,-1.0,-0.5,0,0
86,51.52034,-0.1989,1.0,2.0,-2.0,,1.0,1.5,2.0,0,0
87,51.46615,-0.0524,-0.5,-1.5,1.0,,0.0,0.5,1.0,0,0
88,51.51815,-0.01624,-1.0,1.0,1.0,,-0.5,-0.5,0.0,0,0
89,51.45734,-0.07121,-1.5,-2.0,2.0,,-2.0,-0.5,-1.0,0,0
90,51.50933,0.02323,-2.0,,0.5,,-2.0,-0.5,-1.5,0,0
91,51.54937,-0.0286,0.0,,-1.5,,0.0,-0.5,-0.5,0,0
92,51.48859,-0.02529,5.5,1.5,3.0,,0.5,-0.5,0.0,0,0
93,51.4737,-0.06126,-0.5,2.5,-0.5,,0.0,-1.0,-1.0,0,0
94,51.54497,-0.0672,0.0,1.5,2.0,,-0.5,0.5,1.5,0,0
95,51.56571,-0.01863,0.0,,-1.5,,1.0,-1.0,0.5,0,0
96,51.43107,-0.12301,-2.0,-2.5,-2.0,-2.0,-2.0,0.5,0.5,0,0
97,51.57452,-0.05816,0.5,,2.0,,-0.5,2.0,2.0,0,0
98,51.4399,-0.10421,-0.5,-2.0,-1.0,-2.5,-1.0,0.5,-0.5,0,0
99,51.41907,-0.15268,-0.5,-2.5,1.5,-3.0,-0.5,0.0,0.0,0,0
100,51.49521,-0.16927,-0.5,0.5,-0.5,,0.0,0.0,-1.0,0,0
101,51.5782,0.08331,-0.5,,2.0,,-0.5,-0.5,-0.5,0,0
102,51.48645,-0.12974,3.0,6.5,4.0,,2.0,0.0,1.0,0,0
103,51.47869,-0.12548,0.5,-1.0,-2.0,1.0,1.5,1.0,0.5,0,0
104,51.46562,-0.17825,0.0,0.0,0.0,-1.5,0.0,1.0,1.0,0,0
105,51.46835,-0.17659,3.0,0.0,1.0,-0.5,3.0,2.5,3.0,0,0
106,51.47008,-0.13968,-0.5,0.5,-2.0,-2.5,-0.5,-1.0,-0.5,0,0
107,51.48917,-0.12808,2.0,-3.0,1.0,,-0.5,-1.0,-1.5,0,0
108,51.5718,-0.05982,1.0,,-1.0,,-0.5,0.5,0.5,0,0
109,51.56772,0.08587,0.5,,0.0,,1.0,1.0,1.0,0,0
110,51.48473,-0.16666,0.0,-2.5,-0.5,-1.5,0.5,1.0,0.5,0,0
111,51.57619,-0.02121,0.5,,-1.5,,1.0,0.0,0.0,0,0
112,51.55545,-0.06979,0.0,2.0,1.0,,0.5,-1.0,-0.5,0,0
113,51.4218,-0.15102,0.0,1.0,-2.0,-1.5,0.0,-0.5,-1.0,0,0
114,51.48418,-0.06385,0.0,0.5,-5.0,,0.0,0.5,0.0,0,0
115,51.44263,-0.10255,1.0,1.0,4.5,4.0,1.0,1.0,1.5,0,0
