pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
triangle,197,1398,121.4139,121.4139,121.2447,0.0,0.1395,0.1395,0.0714,1794,8388,0.2139,True,13,2388,0.1395,bengaluru,6,4
trunc_square,198,1391,121.3575,121.3575,121.2447,0.0,0.093,0.093,0.1116,1794,8346,0.215,True,10,2298,0.093,bengaluru,6,4
poisson,201,1413,121.5229,121.5229,121.2447,0.0,0.2295,0.2295,0.1054,1866,8478,0.2201,True,13,2334,0.2295,bengaluru,6,4
h3,360,2512,654.7238,654.7238,654.7238,0.0,0.0,0.0,0.0,2754,15072,0.1827,True,0,2910,0.0,bengaluru,6,5
square,372,2591,654.6373,654.6373,654.7238,0.0,-0.0132,-0.0132,0.0959,2880,15546,0.1853,True,3,3096,-0.0132,bengaluru,6,5
octile,372,2591,654.6373,654.6373,654.7238,0.0,-0.0132,-0.0132,0.0959,2910,15546,0.1872,True,3,3126,-0.0132,bengaluru,6,5
triangle,374,2585,656.2921,656.2921,654.7238,0.0,0.2395,0.2395,0.1751,2838,15510,0.183,True,4,3114,0.2395,bengaluru,6,5
trunc_square,368,2581,656.0541,656.0541,654.7238,0.0,0.2032,0.2032,0.267,2838,15486,0.1833,True,3,3138,0.2032,bengaluru,6,5
poisson,372,2604,655.1832,655.1832,654.7238,0.0,0.0702,0.0702,0.1902,2922,15624,0.187,True,2,3156,0.0702,bengaluru,6,5
h3,711,4978,1696.4044,1696.4044,1695.6141,0.0,0.0466,0.0466,0.2605,2976,29868,0.0996,True,28,5844,0.0466,bengaluru,6,6
square,732,5111,1696.0255,1696.0255,1695.6141,0.0,0.0243,0.0243,0.1592,2988,30666,0.0974,True,34,6522,0.0243,bengaluru,6,6
octile,732,5111,1696.0255,1696.0255,1695.6141,0.0,0.0243,0.0243,0.1592,3024,30666,0.0986,True,34,6528,0.0243,bengaluru,6,6
triangle,731,5114,1696.2825,1696.2825,1695.6141,0.0,0.0394,0.0394,0.1735,2988,30684,0.0974,True,42,6792,0.0394,bengaluru,6,6
trunc_square,733,5109,1696.0944,1696.0944,1695.6141,0.0,0.0283,0.0283,0.2396,3114,30654,0.1016,True,27,6600,0.0283,bengaluru,6,6
poisson,739,5145,1695.869,1695.869,1695.6141,0.0,0.015,0.015,0.0608,3096,30870,0.1003,True,36,6660,0.015,bengaluru,6,6
h3,144,1007,7.5704,7.5704,7.0425,0.0,7.4951,7.4951,0.1348,1494,6042,0.2473,True,0,1590,7.4951,bengaluru,6,7
square,146,1031,7.2268,7.2268,7.0425,0.0,2.6166,2.6166,0.2399,1572,6186,0.2541,True,0,1698,2.6166,bengaluru,6,7
octile,146,1031,7.2268,7.2268,7.0425,0.0,2.6166,2.6166,0.2399,1620,6186,0.2619,True,0,1746,2.6166,bengaluru,6,7
triangle,147,1031,7.667,7.667,7.0425,0.0,8.8675,8.8675,0.1822,1536,6186,0.2483,True,0,1662,8.8675,bengaluru,6,7
trunc_square,148,1039,7.3101,7.3101,7.0425,0.0,3.8002,3.8002,0.0951,1614,6234,0.2589,True,1,1722,3.8002,bengaluru,6,7
poisson,147,1048,7.3017,7.3017,7.0425,0.0,3.6802,3.6802,0.2553,1584,6288,0.2519,True,0,1686,3.6802,bengaluru,6,7
h3,214,1497,59.6639,59.6639,59.4885,0.0,0.2949,0.2949,0.1306,1836,8982,0.2044,True,0,1974,0.2949,bengaluru,6,8
square,220,1540,59.8395,59.8395,59.4885,0.0,0.59,0.59,0.1459,1944,9240,0.2104,True,0,2052,0.59,bengaluru,6,8
octile,220,1540,59.8395,59.8395,59.4885,0.0,0.59,0.59,0.1459,1980,9240,0.2143,True,0,2088,0.59,bengaluru,6,8
triangle,223,1545,59.9072,59.9072,59.4885,0.0,0.7038,0.7038,0.131,1902,9270,0.2052,True,2,2124,0.7038,bengaluru,6,8
trunc_square,219,1534,60.0081,60.0081,59.4885,0.0,0.8735,0.8735,0.2039,2028,9204,0.2203,True,0,2118,0.8735,bengaluru,6,8
poisson,218,1560,59.9167,59.9167,59.4885,0.0,0.7198,0.7198,0.1916,1998,9360,0.2135,True,1,2112,0.7198,bengaluru,6,8
h3,260,1817,1479.2721,1479.2721,1478.1825,0.0,0.0737,0.0737,0.1363,2130,10902,0.1954,True,11,2526,0.0737,bengaluru,6,9
square,265,1863,1478.3945,1478.3945,1478.1825,0.0,0.0143,0.0143,0.0703,2214,11178,0.1981,True,17,2940,0.0143,bengaluru,6,9
octile,265,1863,1478.3945,1478.3945,1478.1825,0.0,0.0143,0.0143,0.0703,2244,11178,0.2008,True,17,2946,0.0143,bengaluru,6,9
triangle,266,1858,1478.7236,1478.7236,1478.1825,0.0,0.0366,0.0366,0.1881,2178,11148,0.1954,True,21,3090,0.0366,bengaluru,6,9
trunc_square,267,1862,1479.8735,1479.8735,1478.1825,0.0,0.1144,0.1144,0.2636,2238,11172,0.2003,True,12,2994,0.1144,bengaluru,6,9
poisson,270,1871,1478.4187,1478.4187,1478.1825,0.0,0.016,0.016,0.031,2226,11226,0.1983,True,21,3036,0.016,bengaluru,6,9
h3,563,3958,200.3516,200.3516,200.1051,0.0,0.1232,0.1232,0.1363,2994,23748,0.1261,True,9,4374,0.1232,bengaluru,6,10
square,582,4061,200.3138,200.3138,200.1051,0.0,0.1043,0.1043,0.1593,3030,24366,0.1244,True,18,4980,0.1043,bengaluru,6,10
octile,582,4061,200.3138,200.3138,200.1051,0.0,0.1043,0.1043,0.1593,3060,24366,0.1256,True,18,4992,0.1043,bengaluru,6,10
triangle,578,4060,200.1333,200.1333,200.1051,0.0,0.0141,0.0141,0.1131,3024,24360,0.1241,True,21,5112,0.0141,bengaluru,6,10
trunc_square,580,4059,200.2728,200.2728,200.1051,0.0,0.0838,0.0838,0.146,3150,24354,0.1293,True,15,5232,0.0838,bengaluru,6,10
poisson,579,4101,200.2694,200.2694,200.1051,0.0,0.0821,0.0821,0.1503,3156,24606,0.1283,True,22,5148,0.0821,bengaluru,6,10
h3,421,2937,119.1176,119.1176,118.9019,0.0,0.1815,0.1815,0.1363,3084,17622,0.175,True,18,3756,0.1815,bengaluru,6,11
square,433,3013,118.9375,118.9375,118.9019,0.0,0.0299,0.0299,0.2061,3144,18078,0.1739,True,26,4446,0.0299,bengaluru,6,11
octile,433,3013,118.9375,118.9375,118.9019,0.0,0.0299,0.0299,0.2061,3204,18078,0.1772,True,26,4482,0.0299,bengaluru,6,11
triangle,431,3013,118.9332,118.9332,118.9019,0.0,0.0263,0.0263,0.1982,2964,18078,0.164,True,34,4686,0.0263,bengaluru,6,11
trunc_square,434,3013,119.1047,119.1047,118.9019,0.0,0.1706,0.1706,0.1252,3120,18078,0.1726,True,22,4572,0.1706,bengaluru,6,11
poisson,433,3023,118.9203,118.9203,118.9019,0.0,0.0155,0.0155,0.165,3204,18138,0.1766,True,28,4434,0.0155,bengaluru,6,11
h3,609,4274,896.3209,896.3209,895.3243,0.0,0.1113,0.1113,0.1305,3493,29918,0.1168,True,7,5397,0.1113,bengaluru,7,0
square,627,4393,895.3736,895.3736,895.3243,0.0,0.0055,0.0055,0.1491,3598,30751,0.117,True,10,5789,0.0055,bengaluru,7,0
octile,627,4393,895.3736,895.3736,895.3243,0.0,0.0055,0.0055,0.1491,3647,30751,0.1186,True,10,5838,0.0055,bengaluru,7,0
triangle,631,4390,896.9377,896.9377,895.3243,0.0,0.1802,0.1802,0.2004,3458,30730,0.1125,True,16,5964,0.1802,bengaluru,7,0
trunc_square,630,4394,897.5135,897.5135,895.3243,0.0,0.2445,0.2445,0.1744,3584,30758,0.1165,True,9,5957,0.2445,bengaluru,7,0
poisson,638,4426,895.8013,895.8013,895.3243,0.0,0.0533,0.0533,0.1304,3500,30982,0.113,True,14,5873,0.0533,bengaluru,7,0
h3,593,4155,444.7167,444.7167,444.4413,0.0,0.062,0.062,0.2303,3493,29085,0.1201,True,11,5432,0.062,bengaluru,7,1
square,608,4263,444.4862,444.4862,444.4413,0.0,0.0101,0.0101,0.053,3647,29841,0.1222,True,15,5894,0.0101,bengaluru,7,1
octile,608,4263,444.4862,444.4862,444.4413,0.0,0.0101,0.0101,0.053,3710,29841,0.1243,True,15,5950,0.0101,bengaluru,7,1
triangle,611,4259,445.4583,445.4583,444.4413,0.0,0.2288,0.2288,0.141,3556,29813,0.1193,True,23,6307,0.2288,bengaluru,7,1
trunc_square,608,4264,444.3878,444.3878,444.4413,0.0,-0.012,-0.012,0.0709,3619,29848,0.1212,True,14,6174,-0.012,bengaluru,7,1
poisson,619,4305,444.4623,444.4623,444.4413,0.0,0.0047,0.0047,0.0763,3612,30135,0.1199,True,20,6237,0.0047,bengaluru,7,1
h3,1141,7992,2438.3562,1950.077,1950.077,25.039,0.0,25.039,0.0,3556,55944,0.0636,True,16,9786,0.0,bengaluru,7,2
square,1173,8216,2492.7248,1951.4365,1950.077,27.7379,0.0697,27.827,0.1274,3661,57512,0.0637,True,18,10472,0.0697,bengaluru,7,2
octile,1173,8216,2447.0625,1951.4365,1950.077,25.398,0.0697,25.4854,0.1274,3738,57512,0.065,True,18,10549,0.0697,bengaluru,7,2
triangle,1178,8202,2600.763,1951.4636,1950.077,33.2724,0.0711,33.3672,0.186,3570,57414,0.0622,True,26,10738,0.0711,bengaluru,7,2
trunc_square,1178,8212,2426.1652,1951.2412,1950.077,24.3396,0.0597,24.4138,0.1124,3696,57484,0.0643,True,18,10696,0.0597,bengaluru,7,2
poisson,1183,8277,2655.8194,1952.1542,1950.077,36.0456,0.1065,36.1905,0.2643,3633,57939,0.0627,True,26,10668,0.1065,bengaluru,7,2
h3,221,1521,46.4503,46.4503,46.4503,0.0,0.0,0.0,0.0,2275,10647,0.2137,True,5,2492,0.0,bengaluru,7,3
square,221,1558,46.8293,46.8293,46.4503,0.0,0.816,0.816,0.1627,2387,10906,0.2189,True,7,2751,0.816,bengaluru,7,3
octile,221,1558,46.8293,46.8293,46.4503,0.0,0.816,0.816,0.1627,2443,10906,0.224,True,7,2786,0.816,bengaluru,7,3
triangle,220,1565,46.8279,46.8279,46.4503,0.0,0.813,0.813,0.1304,2261,10955,0.2064,True,13,2926,0.813,bengaluru,7,3
trunc_square,226,1568,46.7284,46.7284,46.4503,0.0,0.5987,0.5987,0.436,2443,10976,0.2226,True,8,2926,0.5987,bengaluru,7,3
poisson,229,1581,46.7776,46.7776,46.4503,0.0,0.7048,0.7048,0.2266,2436,11067,0.2201,True,13,2961,0.7048,bengaluru,7,3
h3,247,1692,124.0775,124.0775,123.8911,0.0,0.1504,0.1504,0.1302,2415,11844,0.2039,True,14,2884,0.1504,bengaluru,7,4
square,250,1730,124.1439,124.1439,123.8911,0.0,0.204,0.204,0.1827,2534,12110,0.2092,True,16,3220,0.204,bengaluru,7,4
octile,250,1730,124.1439,124.1439,123.8911,0.0,0.204,0.204,0.1827,2597,12110,0.2145,True,15,3213,0.204,bengaluru,7,4
triangle,248,1727,123.8745,123.8745,123.8911,0.0,-0.0134,-0.0134,0.0741,2443,12089,0.2021,True,23,3486,-0.0134,bengaluru,7,4
trunc_square,247,1730,124.5032,124.5032,123.8911,0.0,0.4941,0.4941,0.1192,2513,12110,0.2075,True,13,3374,0.4941,bengaluru,7,4
poisson,252,1741,124.0958,124.0958,123.8911,0.0,0.1652,0.1652,0.1155,2653,12187,0.2177,True,16,3353,0.1652,bengaluru,7,4
h3,361,2518,734.4554,734.4554,734.4554,0.0,0.0,0.0,0.0,3220,17626,0.1827,True,4,3465,0.0,bengaluru,7,5
square,372,2591,735.214,735.214,734.4554,0.0,0.1033,0.1033,0.1264,3346,18137,0.1845,True,4,3682,0.1033,bengaluru,7,5
octile,372,2591,735.214,735.214,734.4554,0.0,0.1033,0.1033,0.1264,3388,18137,0.1868,True,4,3724,0.1033,bengaluru,7,5
triangle,376,2587,735.1912,735.1912,734.4554,0.0,0.1002,0.1002,0.1311,3325,18109,0.1836,True,6,3689,0.1002,bengaluru,7,5
trunc_square,369,2594,734.9743,734.9743,734.4554,0.0,0.0706,0.0706,0.1487,3395,18158,0.187,True,4,3738,0.0706,bengaluru,7,5
poisson,367,2601,734.3412,734.3412,734.4554,0.0,-0.0156,-0.0156,0.0914,3283,18207,0.1803,True,8,3717,-0.0156,bengaluru,7,5
h3,685,4797,1503.6883,1503.6883,1503.0548,0.0,0.0421,0.0421,0.2605,3430,33579,0.1021,True,21,6370,0.0421,bengaluru,7,6
square,702,4924,1503.1118,1503.1118,1503.0548,0.0,0.0038,0.0038,0.0522,3507,34468,0.1017,True,29,7091,0.0038,bengaluru,7,6
octile,702,4924,1503.1118,1503.1118,1503.0548,0.0,0.0038,0.0038,0.0522,3549,34468,0.103,True,29,7098,0.0038,bengaluru,7,6
triangle,700,4921,1503.9327,1503.9327,1503.0548,0.0,0.0584,0.0584,0.2773,3423,34447,0.0994,True,34,7392,0.0584,bengaluru,7,6
trunc_square,704,4926,1503.5262,1503.5262,1503.0548,0.0,0.0314,0.0314,0.1804,3570,34482,0.1035,True,23,7385,0.0314,bengaluru,7,6
poisson,707,4931,1503.0284,1503.0284,1503.0548,0.0,-0.0018,-0.0018,0.1486,3535,34517,0.1024,True,36,7483,-0.0018,bengaluru,7,6
h3,207,1474,674.2431,674.2431,673.2436,0.0,0.1485,0.1485,0.1362,2142,10318,0.2076,True,3,2380,0.1485,bengaluru,7,7
square,218,1509,674.6205,674.6205,673.2436,0.0,0.2045,0.2045,0.1197,2289,10563,0.2167,True,7,2667,0.2045,bengaluru,7,7
octile,218,1509,674.6205,674.6205,673.2436,0.0,0.2045,0.2045,0.1197,2331,10563,0.2207,True,7,2695,0.2045,bengaluru,7,7
triangle,217,1505,674.2657,674.2657,673.2436,0.0,0.1518,0.1518,0.1823,2219,10535,0.2106,True,9,2772,0.1518,bengaluru,7,7
trunc_square,218,1512,673.981,673.981,673.2436,0.0,0.1095,0.1095,0.2101,2317,10584,0.2189,True,4,2639,0.1095,bengaluru,7,7
poisson,222,1526,675.0684,675.0684,673.2436,0.0,0.271,0.271,0.181,2247,10682,0.2104,True,10,2744,0.271,bengaluru,7,7
h3,306,2145,163.5055,163.5055,162.477,0.0,0.633,0.633,0.1364,2842,15015,0.1893,True,3,3115,0.633,bengaluru,7,8
square,316,2210,162.5246,162.5246,162.477,0.0,0.0293,0.0293,0.0796,2982,15470,0.1928,True,3,3248,0.0293,bengaluru,7,8
octile,316,2210,162.5246,162.5246,162.477,0.0,0.0293,0.0293,0.0796,3045,15470,0.1968,True,3,3311,0.0293,bengaluru,7,8
triangle,316,2208,163.1284,163.1284,162.477,0.0,0.4009,0.4009,0.1954,2912,15456,0.1884,True,4,3318,0.4009,bengaluru,7,8
trunc_square,314,2205,162.6127,162.6127,162.477,0.0,0.0835,0.0835,0.0896,2961,15435,0.1918,True,3,3290,0.0835,bengaluru,7,8
poisson,312,2247,163.0366,163.0366,162.477,0.0,0.3444,0.3444,0.297,2961,15729,0.1883,True,2,3227,0.3444,bengaluru,7,8
h3,298,2082,1674.3594,1674.3594,1673.3386,0.0,0.061,0.061,0.1363,2758,14574,0.1892,True,11,3220,0.061,bengaluru,7,9
square,305,2141,1673.907,1673.907,1673.3386,0.0,0.034,0.034,0.0764,2898,14987,0.1934,True,18,3892,0.034,bengaluru,7,9
octile,305,2141,1673.907,1673.907,1673.3386,0.0,0.034,0.034,0.0764,2968,14987,0.198,True,18,3927,0.034,bengaluru,7,9
triangle,305,2139,1674.2185,1674.2185,1673.3386,0.0,0.0526,0.0526,0.2156,2814,14973,0.1879,True,21,3955,0.0526,bengaluru,7,9
trunc_square,305,2134,1673.5606,1673.5606,1673.3386,0.0,0.0133,0.0133,0.0411,2835,14938,0.1898,True,16,3885,0.0133,bengaluru,7,9
poisson,310,2140,1674.0308,1674.0308,1673.3386,0.0,0.0414,0.0414,0.1949,2905,14980,0.1939,True,21,3927,0.0414,bengaluru,7,9
h3,563,3948,176.531,176.531,176.4372,0.0,0.0531,0.0531,0.1348,3493,27636,0.1264,True,9,5096,0.0531,bengaluru,7,10
square,581,4057,176.6526,176.6526,176.4372,0.0,0.1221,0.1221,0.1829,3542,28399,0.1247,True,15,5621,0.1221,bengaluru,7,10
octile,581,4057,176.6526,176.6526,176.4372,0.0,0.1221,0.1221,0.1829,3584,28399,0.1262,True,15,5635,0.1221,bengaluru,7,10
triangle,578,4056,176.5153,176.5153,176.4372,0.0,0.0443,0.0443,0.1164,3521,28392,0.124,True,24,6097,0.0443,bengaluru,7,10
trunc_square,578,4051,176.6699,176.6699,176.4372,0.0,0.1319,0.1319,0.1601,3654,28357,0.1289,True,14,5985,0.1319,bengaluru,7,10
poisson,581,4090,176.5968,176.5968,176.4372,0.0,0.0905,0.0905,0.1518,3598,28630,0.1257,True,18,5845,0.0905,bengaluru,7,10
h3,415,2906,136.5131,136.5131,136.48,0.0,0.0243,0.0243,0.2277,3598,20342,0.1769,True,27,4662,0.0243,bengaluru,7,11
square,427,2988,136.5748,136.5748,136.48,0.0,0.0695,0.0695,0.3724,3668,20916,0.1754,True,34,5439,0.0695,bengaluru,7,11
octile,427,2988,136.5748,136.5748,136.48,0.0,0.0695,0.0695,0.3724,3752,20916,0.1794,True,34,5460,0.0695,bengaluru,7,11
triangle,423,2995,136.6437,136.6437,136.48,0.0,0.12,0.12,0.4295,3535,20965,0.1686,True,39,5628,0.12,bengaluru,7,11
trunc_square,429,2990,136.5515,136.5515,136.48,0.0,0.0524,0.0524,0.1212,3668,20930,0.1753,True,28,5670,0.0524,bengaluru,7,11
poisson,438,3039,136.4858,136.4858,136.48,0.0,0.0043,0.0043,0.0247,3836,21273,0.1803,True,39,5754,0.0043,bengaluru,7,11
