pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
triangle,242,1701,96.529,96.529,96.4824,0.0,0.0483,0.0483,0.1228,2373,11907,0.1993,True,25,3514,0.0483,london,7,11
trunc_square,242,1696,96.6013,96.6013,96.4824,0.0,0.1233,0.1233,0.1047,2513,11872,0.2117,True,16,3570,0.1233,london,7,11
poisson,247,1726,96.5216,96.5216,96.4824,0.0,0.0407,0.0407,0.077,2499,12082,0.2068,True,23,3542,0.0407,london,7,11
h3,558,3879,318.8246,318.8246,318.8089,0.0,0.0049,0.0049,0.1348,2525,19395,0.1302,True,5,3530,0.0049,bengaluru,5,0
square,565,3983,319.1471,319.1471,318.8089,0.0,0.1061,0.1061,0.1057,2555,19915,0.1283,True,8,3825,0.1061,bengaluru,5,0
octile,565,3983,319.1471,319.1471,318.8089,0.0,0.1061,0.1061,0.1057,2600,19915,0.1306,True,8,3865,0.1061,bengaluru,5,0
triangle,559,3986,319.0183,319.0183,318.8089,0.0,0.0657,0.0657,0.0774,2510,19930,0.1259,True,9,3840,0.0657,bengaluru,5,0
trunc_square,570,3978,319.603,319.603,318.8089,0.0,0.2491,0.2491,0.1245,2535,19890,0.1275,True,7,3825,0.2491,bengaluru,5,0
poisson,576,4028,319.0842,319.0842,318.8089,0.0,0.0864,0.0864,0.0919,2640,20140,0.1311,True,9,3915,0.0864,bengaluru,5,0
h3,551,3854,262.9221,262.9221,262.1381,0.0,0.2991,0.2991,0.3553,2495,19270,0.1295,True,6,3540,0.2991,bengaluru,5,1
square,567,3955,262.3851,262.3851,262.1381,0.0,0.0942,0.0942,0.0896,2545,19775,0.1287,True,8,3805,0.0942,bengaluru,5,1
octile,567,3955,262.3851,262.3851,262.1381,0.0,0.0942,0.0942,0.0896,2585,19775,0.1307,True,8,3835,0.0942,bengaluru,5,1
triangle,563,3959,263.1671,263.1671,262.1381,0.0,0.3925,0.3925,0.1284,2545,19795,0.1286,True,10,3890,0.3925,bengaluru,5,1
trunc_square,569,3965,262.5226,262.5226,262.1381,0.0,0.1467,0.1467,0.1555,2620,19825,0.1322,True,9,3860,0.1467,bengaluru,5,1
poisson,583,3996,262.3348,262.3348,262.1381,0.0,0.0751,0.0751,0.0934,2545,19980,0.1274,True,9,3840,0.0751,bengaluru,5,1
h3,869,6075,2665.933,2603.6544,2603.6544,2.392,0.0,2.392,0.0,2540,30375,0.0836,True,26,5790,0.0,bengaluru,5,2
square,885,6240,2683.1898,2603.8244,2603.6544,3.048,0.0065,3.0548,0.0767,2615,31200,0.0838,True,36,6485,0.0065,bengaluru,5,2
octile,885,6240,2663.2619,2603.8244,2603.6544,2.2827,0.0065,2.2894,0.0767,2670,31200,0.0856,True,36,6515,0.0065,bengaluru,5,2
triangle,889,6237,2725.4348,2603.6325,2603.6544,4.6782,-0.0008,4.6773,0.0293,2510,31185,0.0805,True,40,6500,-0.0008,bengaluru,5,2
trunc_square,886,6228,2644.4409,2604.2088,2603.6544,1.5449,0.0213,1.5665,0.2556,2630,31140,0.0845,True,28,6345,0.0213,bengaluru,5,2
poisson,915,6308,2717.2766,2604.0486,2603.6544,4.3482,0.0151,4.364,0.1361,2670,31540,0.0847,True,41,6775,0.0151,bengaluru,5,2
